"","date","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","usd_raw","eur_raw","gbp_raw","jpy_raw","cny_raw","gdp_dollar","adj_price","usd_adjusted","eur_adjusted","gbp_adjusted","jpy_adjusted","cny_adjusted","positive","balanced","ordering"
"31",2001-04-01,"CHE","CHF","Switzerland",6.3,1.73,3.64161849710983,0.43371,0.6102,0.27969,0.53592,2.04572,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,26
"32",2001-04-01,"CHL","CLP","Chile",1260,601,2.09650582362729,-0.1746,-0.073,-0.26327,-0.11576,0.75344,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,15
"33",2001-04-01,"CHN","CNY","China",9.9,8.28,1.19565217391304,-0.52927,-0.47132,-0.57984,-0.49571,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,3
"34",2001-04-01,"CZE","CZK","Czech Republic",56,39,1.43589743589744,-0.43469,-0.3651,-0.49542,-0.39438,0.20093,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,9
"35",2001-04-01,"DNK","DKK","Denmark",24.75,8.46,2.92553191489362,0.15178,0.29357,0.02805,0.2339,1.44681,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,25
"36",2001-04-01,"EUZ","EUR","Euro area",2.57,1.136363636,2.26160000072371,-0.10961,0,-0.20526,-0.04613,0.89152,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,18
"37",2001-04-01,"GBR","GBP","Britain",1.99,0.699300699,2.84570000122365,0.12035,0.25827,0,0.20023,1.38004,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,24
"38",2001-04-01,"HKG","HKD","Hong Kong",10.7,7.8,1.37179487179487,-0.45992,-0.39344,-0.51794,-0.42142,0.14732,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,8
"39",2001-04-01,"HUN","HUF","Hungary",399,303,1.31683168316832,-0.48156,-0.41774,-0.53726,-0.4446,0.10135,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,6
"40",2001-04-01,"IDN","IDR","Indonesia",14700,10855,1.35421464762782,-0.46684,-0.40121,-0.52412,-0.42883,0.13262,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,7
"41",2001-04-01,"JPN","JPY","Japan",294,124,2.37096774193548,-0.06655,0.04836,-0.16682,0,0.98299,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,22
"42",2001-04-01,"KOR","KRW","South Korea",3000,1325,2.26415094339623,-0.1086,0.00113,-0.20436,-0.04505,0.89365,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,19
